v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;KEY;target;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v97;v98;v99;v100;v101;v102;v103;v104;v105;v106;v107;v108;v109;v110;v111;v112;v113;v114
3;-1;-1;1;1;0;3;0;136800;7;13;14;14;20;13;6;-1;7;-1;45600;14;0,6757;80000;6800;6;13;2;1;0;1;1;0;0;0;3;80000;67;14;2;14;50;100;1;-1;0;0;0;0;0;-1;0;0;0;14;5;100;1;652;11;11;S;SELECT;0;34;1;1;3;H;80000;136800;2;;50;1;4056025390;0;S;1;0;0;0;0;1;0,031772193;0;0;0;0;0,031772193;0,031772193;0,082250266;0,917749734;0;0;0;0,077137244;0,860698556;;;0;0,847964639;0;0;0;1;0;0;0;0,031772193;0;0;0,042096401;0,053731846;0,904171753;0;0
5;-1;-1;1;1;0;5;0;841383;6;54;250;250;14;54;186;-1;16;-1;168276,6;250;0,8334;237153;155000;57;16;3;2;0;1;1;0;0;0;4;237153;83;250;16;250;100;100;1;-1;0;0;0;0;0;-1;0;0;0;250;5;100;1;701;217;217;S;SELECT;0;46;0,9231;1;4;H;237153;841383;0;9355,945615;50;1;597409820;0;S;1;0;0;0;0;1;0,042847246;0;0;0;0;0,042847246;0,042847246;0,034246396;0,965753604;0;0;0;0,035143359;0,991048096;;;0;1,016142892;0;0;0;1;0;0;0;0,042847246;0;0;0,006997352;0,002794742;0,990207905;0;0
4;-1;-1;0;0;0;4;0;111110;12;-1;107;107;0;-1;-1;-1;9;-1;27777,5;107;0,4782;32000;32000;9;29;2;2;0;0;0;0;0;0;2;32000;55;107;9;30;75;100;1;-1;0;0;0;0;0;-1;0;0;0;30;3;100;1;698;26;26;S;PREFERENTE;0;34;1;1;2;H;32000;111110;2;528,1509667;50;1;4061676605;0;S;0;0;0;0;0;1;0,037830309;0;0;0;0;0,037830309;0,037830309;0;1;0;0;0;0;0,483290582;;;;0,483290582;0;0;0;1;0;0;0;0,037830309;0;0;0;0;1;0;0
2;-1;-1;0;0;0;2;0;43200;13;-1;15;15;0;-1;-1;-1;4;-1;21600;15;0,5185;15000;28200;14;4;1;1;0;0;0;0;0;0;1;28200;51;15;1;15;25;25;1;-1;0;0;0;0;0;-1;0;0;0;15;5;75;1;650;-1;7;S;SELECT;0;30;1;1;1;H;28200;43200;1;;50;1;4063764200;1;S;1;0;0;0;0;1;0,074604875;0;0;0;0;0,074604875;0,074604875;0;1;0;0;0;0;0,908014757;;;;0,908014757;0;0;0;1;0;0;0;0,074604875;0;0;0;0;1;0;0
11;-1;-1;2;1;0;11;0;1784780;9;10;211;211;14;6;70;-1;27;-1;162252,73;211;0,6761;150380;585000;129;59;2;9;0;1;0;2;0;0;2;585000;69;211;6;211;;;;;;;;;;;;;0;211;5;;1;701;;;S;SELECT;0;61;1;1;2;H;585000;1784780;2;;43;1;600722740;0;S;0;0,043955039;0;0;0,589182089;0,366862872;0,040737016;0,003311294;0;0;0,044385237;0,027637119;0,07533365;0,004001486;0,755710838;0;0;0,240287676;0,004256714;0,803912659;;;0,983735897;0,842687574;0;0;0,241738981;0,758261019;0;0;0,008810909;0,027637119;0;0;0,205835163;0,00200399;0,792160847;0;0
2;-1;2;3;2;0;2;1;125000;26;6;13;232;50;6;3;-1;4;2;62500;6;0,2915;50000;75000;5;4;1;1;0;2;1;2;0;1;2;75000;29;6;2;6;50;50;1;-1;0;0;0;0;0;-1;0;0;1;13;5;100;2;677;0;9;S;SELECT;0;47;0,875;2;2;H;75000;125000;5;1580,539624;20;2;4064820245;1;S;0;0,693727995;0;0,465435248;0;0,050290704;0,303375333;0,014097993;0;0,00945861;0;0,001022011;0,020322076;0,044395659;0,005443608;0;0,950160733;0;2,321777035;0,284686472;;1,009680159;0;0,938541511;0;0,902485605;0;0,097514395;0;0,00945861;0;0,001022011;0;0,883215623;0,082861888;0,015976249;0,01794624;0;0
3;-1;-1;0;0;1;3;0;777899;1;-1;89;95;25;-1;-1;-1;7;-1;259299,67;89;0,9157;150000;618000;14;89;1;2;1;0;0;0;0;0;1;618000;91;89;7;89;;;;;;;;;;;;;0;89;5;;1;706;;;S;SELECT;;50;1;1;1;H;618000;777899;1;;50;1;4065634445;0;S;0;0;0;0;0;1;0,037984315;0;0;0;0;0,037984315;0,037984315;0;1;0;0;0;0;0,929885301;0;;;0,761992687;0;0;0;1;0;0;0;0,037984315;0,18055196;0;0;0;0,81944804;0;0
4;-1;-1;1;0;0;4;0;821162;3;22;285;285;20;22;-1;-1;39;-1;205290,5;285;0,3722;182422;294800;144;285;2;2;0;0;0;1;0;0;2;294800;37;285;10;285;100;100;1;-1;0;0;0;0;0;-1;0;0;0;285;5;100;1;707;281;281;S;SELECT;0;57;0,75;1;2;H;294800;821162;0;;50;1;601648490;0;S;0;0;0;0;0,444060167;0,555939833;0,033130717;0;0;0;0,016728467;0,020943155;0,037671622;0;0,632137104;0;0;0,367862896;0;0,707432171;;;0,663727612;0,690701505;0;0;0,444060167;0,555939833;0;0;0,016728467;0,020943155;0;0;0,382812846;0;0,617187154;0;0
8;7;-1;1;0;1;8;0;113500;34;-1;68;68;20;-1;-1;7;7;-1;14187,5;68;0,7811;0;39100;0;17;0;8;1;0;0;1;0;0;0;39100;78;68;7;68;;;;;;;;;;;;;0;68;5;;2;662;;;N;SELECT;;28;0,8182;2;0;H;39100;113500;4;0;;2;4066886680;1;N;0;0;0,575054637;0,328534182;0,02129903;0,075112151;0,04419528;0;0,076769124;0,043858931;0,002843396;0,010027385;0,133498836;0;0,226888132;0,713889387;0;0,059222481;0;0,929773042;0,848465123;;0,5785;0,841901815;0,856416845;0;0,0317202;0,111862955;0,076769124;0;0,002843396;0,010027385;0,70836709;0;0,086187579;0;0,205445331;0;0
2;-1;-1;0;0;0;2;0;360660;5;-1;101;101;0;-1;-1;-1;19;-1;180330;101;0,9733;360659;1;18;100;1;1;0;0;0;0;0;0;1;360659;97;101;1;19;100;100;1;-1;0;0;0;0;0;-1;-0,01;-0,01;0;19;5;100;1;664;-1;12;S;SELECT;0;30;1;1;1;M;360659;360660;0;;52;1;4069383330;0;S;0;0;0;0;0;1;0,039966728;0;0;0;0;0,039966728;0,039966728;0;1;0;0;0;0;5,586993888;;;;5,586993888;0;0;0;1;0;0;0;0,039966728;0;0;0;0;1;0;0
